Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-7172.991	-7585.284	412.2928	1.32073	1.438859	0.598939	0.401061	4.92063
6	-7191.321	-7601.936	410.615	1.300783	1.855168	0.614536	0.385464	5.700384
12	-7195.024	-7605.763	410.7385	1.300783	1.66483	0.572898	0.427102	5.700384
18	-7224.175	-7636.137	411.9615	1.383895	1.493146	0.572898	0.427102	5.047068
24	-7213.498	-7625.97	412.4717	1.365387	1.493146	0.699515	0.300485	4.773348
30	-7196.459	-7609.366	412.9077	1.311668	1.118622	0.648694	0.351306	4.731446
36	-7211.418	-7623.328	411.9098	1.311668	1.359313	0.594514	0.405486	5.172435
42	-7213.793	-7625.742	411.9497	1.311668	1.217984	0.553568	0.446432	5.2149
48	-7209.628	-7621.293	411.6649	1.339717	1.370973	0.648914	0.351086	5.287203
54	-7189.693	-7601.442	411.7487	1.338957	1.370973	0.603689	0.396311	5.241342
60	-7192.789	-7604.625	411.8365	1.266598	1.210266	0.598732	0.401268	5.306049
66	-7191.884	-7602.719	410.8351	1.235147	1.437812	0.610826	0.389174	5.772507
72	-7197.839	-7608.813	410.9739	1.258196	1.579773	0.624885	0.375115	5.626879
78	-7194.763	-7605.255	410.4919	1.245067	1.498767	0.610771	0.389229	5.929807
84	-7185.695	-7596.629	410.9339	1.261963	1.541646	0.610771	0.389229	5.66166
90	-7176.387	-7588.648	412.2612	1.261963	1.42781	0.560901	0.439099	4.975565
96	-7183.301	-7594.755	411.454	1.261963	1.326048	0.560901	0.439099	5.466059
102	-7192.328	-7603.694	411.3665	1.308115	1.378105	0.638228	0.361772	5.466059
108	-7204.02	-7615.148	411.1277	1.299708	1.378105	0.638228	0.361772	5.601904
114	-7201.51	-7613.384	411.8738	1.395083	1.666597	0.592221	0.407779	5.021616
120	-7187.033	-7599.473	412.4403	1.395083	1.357239	0.638214	0.361786	4.832284
126	-7181.753	-7592.637	410.8846	1.316747	1.745046	0.636177	0.363823	5.582195
132	-7198.117	-7608.138	410.0209	1.349063	1.538683	0.67381	0.32619	6.114089
138	-7194.091	-7604.475	410.3841	1.245869	1.208857	0.67381	0.32619	6.114089
144	-7207.441	-7619.42	411.9785	1.250624	1.420075	0.655989	0.344011	5.142001
150	-7198.261	-7610.111	411.8506	1.250624	1.334745	0.614283	0.385717	5.249749
156	-7182.904	-7595.355	412.451	1.284515	1.353639	0.618044	0.381956	4.889538
162	-7211.873	-7622.735	410.8621	1.238548	1.144905	0.623477	0.376523	5.88821
168	-7195.316	-7606.933	411.6167	1.245267	1.400163	0.543679	0.456321	5.353348
174	-7197.29	-7607.023	409.7329	1.245267	1.498638	0.487012	0.512988	6.342921
180	-7195.839	-7605.74	409.9007	1.274047	1.719722	0.544598	0.455402	6.15247
186	-7224.355	-7633.834	409.4788	1.228842	1.886211	0.699227	0.300773	6.348684
192	-7194.898	-7604.69	409.7924	1.234536	1.530414	0.655454	0.344546	6.303899
198	-7194.529	-7607.894	413.3652	1.387486	1.530414	0.63569	0.36431	4.2431
204	-7183.546	-7595.657	412.1114	1.395437	1.441377	0.590115	0.409885	4.978897
210	-7166.376	-7578.855	412.4799	1.450207	1.604677	0.590115	0.409885	4.676633
216	-7183.148	-7596.233	413.0852	1.466966	1.225703	0.672831	0.327169	4.491528
222	-7186.553	-7598.325	411.7721	1.374517	1.784458	0.63664	0.36336	5.04634
228	-7193.303	-7605.625	412.3224	1.374517	1.518579	0.602689	0.397311	4.841197
234	-7189.017	-7599.975	410.9574	1.343449	1.518579	0.608358	0.391642	5.613202
240	-7192.305	-7602.891	410.586	1.31088	1.364006	0.608358	0.391642	5.898549
246	-7196.006	-7606.339	410.3323	1.255355	1.364006	0.563434	0.436566	6.067236
252	-7201.104	-7610.496	409.3918	1.271796	1.516442	0.664181	0.335819	6.506416
258	-7212.054	-7619.605	407.5508	1.108279	1.586077	0.619191	0.380809	7.558738
264	-7193.306	-7605.11	411.8036	1.269872	1.50845	0.626599	0.373401	5.191523
270	-7196.759	-7606.06	409.3007	1.269872	1.575465	0.537047	0.462953	6.533872
276	-7196.256	-7606.318	410.0618	1.246134	1.473949	0.584013	0.415987	6.173651
282	-7208.84	-7619.652	410.8127	1.308087	1.891165	0.584013	0.415987	5.57573
288	-7207.818	-7618.432	410.6141	1.362312	1.891165	0.632701	0.367299	5.654958
294	-7200.15	-7612.988	412.8381	1.379426	1.489245	0.630828	0.369172	4.561943
300	-7188.016	-7598.1	410.0835	1.394738	2.139628	0.622252	0.377748	5.84835
306	-7195.028	-7607.629	412.6017	1.412093	1.315288	0.59766	0.40234	4.75146
312	-7181.281	-7593.615	412.3337	1.385653	1.718227	0.563864	0.436136	4.75146
318	-7177.431	-7590.694	413.2629	1.423246	1.162822	0.563864	0.436136	4.447087
324	-7185.16	-7597.117	411.9566	1.357414	1.226677	0.63434	0.36566	5.181648
330	-7193.219	-7604.779	411.5606	1.4179	1.668966	0.57804	0.42196	5.181648
336	-7186.267	-7595.787	409.5196	1.274355	1.803033	0.585383	0.414617	6.330081
342	-7165.325	-7575.585	410.26	1.269227	1.576995	0.585383	0.414617	6.012407
348	-7201.964	-7611.925	409.9607	1.196079	1.208891	0.59651	0.40349	6.371264
354	-7192.094	-7603.292	411.1985	1.227815	1.336201	0.622777	0.377223	5.620788
360	-7200.041	-7610.789	410.7482	1.316599	1.82665	0.622777	0.377223	5.628423
366	-7207.838	-7618.829	410.991	1.316599	1.471734	0.674959	0.325041	5.628423
372	-7199.293	-7610.873	411.5792	1.300377	1.523707	0.634053	0.365947	5.292573
378	-7193.841	-7603.314	409.4735	1.263597	1.993951	0.628775	0.371225	6.297558
